handle = 0x0002, char properties = 0x02, char value handle = 0x0003, uuid = 00002a00-0000-1000-8000-00805f9b34fb
handle = 0x0004, char properties = 0x02, char value handle = 0x0005, uuid = 00002a01-0000-1000-8000-00805f9b34fb
handle = 0x0006, char properties = 0x02, char value handle = 0x0007, uuid = 00002a04-0000-1000-8000-00805f9b34fb
handle = 0x0009, char properties = 0x22, char value handle = 0x000a, uuid = 00002a05-0000-1000-8000-00805f9b34fb
handle = 0x000d, char properties = 0x02, char value handle = 0x000e, uuid = 00002a25-0000-1000-8000-00805f9b34fb
handle = 0x000f, char properties = 0x02, char value handle = 0x0010, uuid = 00002a27-0000-1000-8000-00805f9b34fb
handle = 0x0011, char properties = 0x02, char value handle = 0x0012, uuid = 00002a28-0000-1000-8000-00805f9b34fb
handle = 0x0013, char properties = 0x02, char value handle = 0x0014, uuid = 00002a23-0000-1000-8000-00805f9b34fb
handle = 0x0015, char properties = 0x02, char value handle = 0x0016, uuid = 00002a50-0000-1000-8000-00805f9b34fb
handle = 0x0018, char properties = 0x18, char value handle = 0x0019, uuid = 00001531-0000-3512-2118-0009af100700
handle = 0x001b, char properties = 0x04, char value handle = 0x001c, uuid = 00001532-0000-3512-2118-0009af100700
handle = 0x001e, char properties = 0x08, char value handle = 0x001f, uuid = 00002a46-0000-1000-8000-00805f9b34fb
handle = 0x0021, char properties = 0x1a, char value handle = 0x0022, uuid = 00002a44-0000-1000-8000-00805f9b34fb
handle = 0x0025, char properties = 0x04, char value handle = 0x0026, uuid = 00002a06-0000-1000-8000-00805f9b34fb
handle = 0x0028, char properties = 0x10, char value handle = 0x0029, uuid = 00002a37-0000-1000-8000-00805f9b34fb
handle = 0x002b, char properties = 0x0a, char value handle = 0x002c, uuid = 00002a39-0000-1000-8000-00805f9b34fb
handle = 0x002e, char properties = 0x1a, char value handle = 0x002f, uuid = 00002a2b-0000-1000-8000-00805f9b34fb
handle = 0x0031, char properties = 0x14, char value handle = 0x0032, uuid = 00000001-0000-3512-2118-0009af100700
handle = 0x0034, char properties = 0x10, char value handle = 0x0035, uuid = 00000002-0000-3512-2118-0009af100700
handle = 0x0037, char properties = 0x14, char value handle = 0x0038, uuid = 00000003-0000-3512-2118-0009af100700
handle = 0x003a, char properties = 0x16, char value handle = 0x003b, uuid = 00002a04-0000-1000-8000-00805f9b34fb
handle = 0x003d, char properties = 0x14, char value handle = 0x003e, uuid = 00000004-0000-3512-2118-0009af100700
handle = 0x0040, char properties = 0x10, char value handle = 0x0041, uuid = 00000005-0000-3512-2118-0009af100700
handle = 0x0043, char properties = 0x12, char value handle = 0x0044, uuid = 00000006-0000-3512-2118-0009af100700
handle = 0x0046, char properties = 0x12, char value handle = 0x0047, uuid = 00000007-0000-3512-2118-0009af100700
handle = 0x0049, char properties = 0x18, char value handle = 0x004a, uuid = 00000008-0000-3512-2118-0009af100700
handle = 0x004c, char properties = 0x10, char value handle = 0x004d, uuid = 00000010-0000-3512-2118-0009af100700
handle = 0x004f, char properties = 0x16, char value handle = 0x0050, uuid = 00000020-0000-3512-2118-0009af100700
handle = 0x0052, char properties = 0x08, char value handle = 0x0053, uuid = 0000000e-0000-3512-2118-0009af100700
handle = 0x0055, char properties = 0x14, char value handle = 0x0056, uuid = 0000000f-0000-3512-2118-0009af100700
handle = 0x0059, char properties = 0x16, char value handle = 0x005a, uuid = 00000009-0000-3512-2118-0009af100700
handle = 0x005c, char properties = 0x08, char value handle = 0x005d, uuid = 0000fedd-0000-1000-8000-00805f9b34fb
handle = 0x005e, char properties = 0x02, char value handle = 0x005f, uuid = 0000fede-0000-1000-8000-00805f9b34fb
handle = 0x0060, char properties = 0x02, char value handle = 0x0061, uuid = 0000fedf-0000-1000-8000-00805f9b34fb
handle = 0x0062, char properties = 0x0a, char value handle = 0x0063, uuid = 0000fed0-0000-1000-8000-00805f9b34fb
handle = 0x0064, char properties = 0x0a, char value handle = 0x0065, uuid = 0000fed1-0000-1000-8000-00805f9b34fb
handle = 0x0066, char properties = 0x02, char value handle = 0x0067, uuid = 0000fed2-0000-1000-8000-00805f9b34fb
handle = 0x0068, char properties = 0x0a, char value handle = 0x0069, uuid = 0000fed3-0000-1000-8000-00805f9b34fb
handle = 0x006a, char properties = 0x1a, char value handle = 0x006b, uuid = 0000fec1-0000-3512-2118-0009af100700
